Laufnr	TaktNr	StückP	HöheP	Schläge	SchlTyp	NKorr	KKorr	Dauer	Länge	End	KlavTon	Frequency     	DeltaFT
1	1	0	130	3	4	27	0	240	240	240	36	440	0.062689
2	1	0	120	3	4	29	1	240	240	240	40	554.3652	0.078983
3	1	0	95	3	4	34	0	240	240	240	48	879.9999	0.125378
5	1	360	120	3	4	29	1	120	120	480	40	554.3652	0.078983
6	1	360	110	3	4	31	0	120	120	480	43	659.2551	0.093927
7	1	480	120	3	4	29	1	120	120	720	40	554.3652	0.078983
8	1	480	110	3	4	31	0	120	120	720	43	659.2551	0.093927
10	1	840	120	3	4	29	1	60	60	960	40	554.3652	0.078983
11	1	840	110	3	4	31	0	60	60	960	43	659.2551	0.093927
12	1	960	115	3	4	30	0	60	60	1080	41	587.3295	0.083680
13	1	960	105	3	4	32	1	60	60	1080	45	739.9888	0.105430
14	1	1080	115	3	4	30	0	60	60	1200	41	587.3295	0.083680
15	1	1080	100	3	4	33	1	60	60	1200	47	830.6093	0.118341
16	1	1200	115	3	4	30	0	60	60	1320	41	587.3295	0.083680
17	1	1200	95	3	4	34	0	60	60	1320	48	879.9999	0.125378
18	1	1320	115	3	4	30	0	60	60	1440	41	587.3295	0.083680
19	1	1320	90	3	4	35	0	60	60	1440	50	987.7666	0.140732
20	1	0	260	3	4	13	0	240	240	240	12	110	0.015672
21	1	0	225	3	4	20	0	240	240	240	24	220	0.031344
23	1	360	225	3	4	20	0	120	120	480	24	220	0.031344
24	1	360	205	3	4	24	0	120	120	480	31	329.6275	0.046963
25	1	360	190	3	4	27	0	120	120	480	36	440	0.062689
26	1	480	225	3	4	20	0	120	120	720	24	220	0.031344
27	1	480	205	3	4	24	0	120	120	720	31	329.6275	0.046963
28	1	480	190	3	4	27	0	120	120	720	36	440	0.062689
30	1	840	225	3	4	20	0	60	60	960	24	220	0.031344
31	1	840	205	3	4	24	0	60	60	960	31	329.6275	0.046963
32	1	840	190	3	4	27	0	60	60	960	36	440	0.062689
33	1	960	225	3	4	20	0	60	60	1080	24	220	0.031344
34	1	960	205	3	4	24	0	60	60	1080	31	329.6275	0.046963
35	1	960	185	3	4	28	0	60	60	1080	38	493.8833	0.070366
36	1	1080	225	3	4	20	0	60	60	1200	24	220	0.031344
37	1	1080	205	3	4	24	0	60	60	1200	31	329.6275	0.046963
38	1	1080	185	3	4	28	0	60	60	1200	38	493.8833	0.070366
39	1	1200	225	3	4	20	0	60	60	1320	24	220	0.031344
40	1	1200	205	3	4	24	0	60	60	1320	31	329.6275	0.046963
41	1	1200	185	3	4	28	0	60	60	1320	38	493.8833	0.070366
42	1	1320	225	3	4	20	0	60	60	1440	24	220	0.031344
43	1	1320	205	3	4	24	0	60	60	1440	31	329.6275	0.046963
44	1	1320	185	3	4	28	0	60	60	1440	38	493.8833	0.070366
47	2	1440	120	3	4	29	1	360	360	1800	40	554.3652	0.078983
48	2	1440	85	3	4	36	1	360	360	1800	52	1108.730	0.157967
49	2	1800	120	3	4	29	1	120	120	1920	40	554.3652	0.078983
50	2	1800	95	3	4	34	0	120	120	1920	48	879.9999	0.125378
51	2	1920	120	3	4	29	1	240	240	2160	40	554.3652	0.078983
52	2	1920	95	3	4	34	0	240	240	2160	48	879.9999	0.125378
55	2	1440	225	3	4	20	0	360	360	1800	24	220	0.031344
56	2	1440	205	3	4	24	0	360	360	1800	31	329.6275	0.046963
57	2	1440	190	3	4	27	0	360	360	1800	36	440	0.062689
58	2	1800	225	3	4	20	0	120	120	1920	24	220	0.031344
59	2	1800	205	3	4	24	0	120	120	1920	31	329.6275	0.046963
60	2	1800	190	3	4	27	0	120	120	1920	36	440	0.062689
61	2	1920	225	3	4	20	0	240	240	2160	24	220	0.031344
62	2	1920	205	3	4	24	0	240	240	2160	31	329.6275	0.046963
63	2	1920	190	3	4	27	0	240	240	2160	36	440	0.062689
64	2	2160	195	3	4	26	1	80	80	2240	35	415.3046	0.059170
65	2	2240	190	3	4	27	0	80	80	2320	36	440	0.062689
66	2	2320	185	3	4	28	0	80	80	2400	38	493.8833	0.070366
67	2	2400	190	3	4	27	0	120	120	2640	36	440	0.062689
68	2	2640	205	3	4	24	0	120	120	2880	31	329.6275	0.046963
71	2	2160	230	3	4	19	1	80	80	2240	23	207.6523	0.029585
72	2	2240	225	3	4	20	0	80	80	2320	24	220	0.031344
73	2	2320	220	3	4	21	0	80	80	2400	26	246.9416	0.035183
74	2	2400	225	3	4	20	0	120	120	2640	24	220	0.031344
75	2	2640	240	3	4	17	0	240	240	2880	19	164.8137	0.023481
76	3	2880	120	3	4	29	1	240	240	3120	40	554.3652	0.078983
77	3	2880	85	3	4	36	1	240	240	3120	52	1108.730	0.157967
79	3	3240	120	3	4	29	1	120	120	3360	40	554.3652	0.078983
80	3	3240	95	3	4	34	0	120	120	3360	48	879.9999	0.125378
81	3	3360	120	3	4	29	1	120	120	3600	40	554.3652	0.078983
82	3	3360	95	3	4	34	0	120	120	3600	48	879.9999	0.125378
84	3	3720	120	3	4	29	1	60	60	3840	40	554.3652	0.078983
85	3	3720	100	3	4	33	1	60	60	3840	47	830.6093	0.118341
86	3	3840	120	3	4	29	1	60	60	3960	40	554.3652	0.078983
87	3	3840	95	3	4	34	0	60	60	3960	48	879.9999	0.125378
88	3	3960	120	3	4	29	1	60	60	4080	40	554.3652	0.078983
89	3	3960	95	3	4	34	0	60	60	4080	48	879.9999	0.125378
90	3	3960	90	3	4	35	0	60	60	4080	50	987.7666	0.140732
91	3	4080	120	3	4	29	1	60	60	4200	40	554.3652	0.078983
92	3	4080	95	3	4	34	0	60	60	4200	48	879.9999	0.125378
93	3	4080	85	3	4	36	1	60	60	4200	52	1108.730	0.157967
94	3	4200	115	3	4	30	0	60	60	4320	41	587.3295	0.083680
95	3	4200	95	3	4	34	0	60	60	4320	48	879.9999	0.125378
96	3	4200	80	3	4	37	0	60	60	4320	53	1174.659	0.167360
97	3	2880	260	3	4	13	0	240	240	3120	12	110	0.015672
98	3	2880	225	3	4	20	0	240	240	3120	24	220	0.031344
100	3	3240	225	3	4	20	0	120	120	3360	24	220	0.031344
101	3	3240	205	3	4	24	0	120	120	3360	31	329.6275	0.046963
102	3	3240	190	3	4	27	0	120	120	3360	36	440	0.062689
103	3	3360	225	3	4	20	0	120	120	3600	24	220	0.031344
104	3	3360	205	3	4	24	0	120	120	3600	31	329.6275	0.046963
105	3	3360	190	3	4	27	0	120	120	3600	36	440	0.062689
107	3	3720	225	3	4	20	0	60	60	3840	24	220	0.031344
108	3	3720	205	3	4	24	0	60	60	3840	31	329.6275	0.046963
109	3	3720	190	3	4	27	0	60	60	3840	36	440	0.062689
