LaufNr	Finger	Höhe	Zeit
00285	5	    221	    9360
00287	1	    166	    9360
00289	1	    193	    9840
00291	4	    217	    9600
00309	5	    218	    10320
00312	1	    145	    10320
00317	4	    237	    11040
00334	4	    050 	11880
00338	5	    041	    12000
00351	2	    172	    12240
00352	1	    170	    12320
00353	3   	167	    12400
00354	2	    161	    12480
00361	3	    244	    12240
00362	1	    235	    12320
00363	2	    233	    12400
00364	3	    230	    12480
00374	4	    035	    13200
00386	5	    031	    13440
00435	4	    037	    15360
00517	1	    056	    18000
00519	4	    050 	18160
00520	3	    048	    18240
00540	3	    260	    18000
00543	3	    251	    18240
